Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
80,DePaul,Big East,,,15,16,73.3,72.2,1.10,,7.25,,6.18,2.17,8.35,108.53,97.54,10.99
81,Arizona State,Pac-12,,,14,17,65.4,67.2,-1.84,,10.11,,0.82,7.45,8.27,101.89,90.13,11.76
82,Toledo,MAC (West),,,25,6,81.5,68.4,13.19,,-3.05,,8.06,0.19,8.26,110.99,99.21,11.79
83,South Carolina,SEC,,,18,12,71.6,70.2,1.47,,8.66,,3.85,4.29,8.14,103.24,91.57,11.67
84,St. Bonaventure,A-10,,,20,8,70.6,66.6,4.00,,3.97,,3.04,4.93,7.97,109.23,97.06,12.16
85,Drake,MVC,,,24,10,73.5,66.2,7.29,,1.91,,4.21,3.73,7.94,109.55,97.32,12.23
86,Nevada-Las Vegas,MWC,,,18,13,70.3,65.8,4.52,,5.09,,3.04,4.84,7.89,108.92,96.89,12.03
87,Cincinnati,AAC,,,17,14,69.7,65.9,3.77,,4.19,,2.16,5.47,7.63,105.39,94.42,10.97
88,South Dakota State,Summit,,,30,4,86.7,73.4,13.32,,-3.62,,11.47,-4.12,7.35,114.82,104.27,10.55
89,Vermont,AEC,,,27,5,74.7,60.8,13.88,,-6.03,,2.63,4.60,7.23,110.79,99.10,11.69
90,Belmont,OVC,,,25,7,78.5,68.2,10.31,,-2.49,,6.42,0.80,7.22,108.70,98.49,10.21
91,Mississippi,SEC,,,13,19,68.1,68.7,-0.53,,7.74,,1.64,5.58,7.21,107.40,97.34,10.06
92,Central Florida,AAC,,,17,11,70.2,68.0,2.21,,4.85,,3.78,3.29,7.06,107.90,97.13,10.77
93,Tulane,AAC,,,13,14,73.6,71.6,1.93,,5.10,,6.02,1.00,7.02,109.77,99.06,10.71
94,Richmond,A-10,,,19,12,72.2,69.1,3.16,,3.62,,4.04,2.74,6.78,109.83,99.11,10.73
95,Towson,CAA,,,25,8,73.2,64.0,9.18,,-2.55,,1.75,4.88,6.63,108.92,98.65,10.27
96,Stanford,Pac-12,,,16,15,65.9,68.2,-2.26,,8.84,,0.79,5.79,6.58,105.63,96.43,9.20
97,Minnesota,Big Ten,,,13,17,67.0,69.2,-2.20,,8.73,,1.73,4.80,6.53,107.84,98.69,9.16
98,Florida State,ACC,,,17,14,71.0,71.9,-0.94,,7.36,,3.28,3.14,6.43,105.87,96.48,9.39
99,New Mexico State,WAC,,,24,6,73.5,65.3,8.20,,0.46,,2.11,4.32,6.43,106.60,97.19,9.40
100,Grand Canyon,WAC,,,22,7,71.1,60.6,10.55,,-2.58,,-0.96,7.38,6.42,103.82,93.86,9.96
