Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
221,Fairfield,MAAC,,,15,18,67.8,66.0,1.88,,-4.32,,-5.40,1.30,-4.10,98.69,103.96,-5.28
222,Kennesaw State,A-Sun,,,13,18,74.8,71.2,3.65,,-2.25,,-0.02,-4.11,-4.14,103.14,108.40,-5.26
223,Bryant,NEC,,,22,9,77.9,72.7,5.16,,-7.29,,4.14,-8.36,-4.22,100.33,105.98,-5.65
224,Marshall,CUSA,,,12,21,74.0,76.5,-2.45,,0.48,,3.38,-7.61,-4.23,99.94,105.42,-5.47
225,Boston University,Patriot,,,21,12,71.3,67.4,3.88,,-7.59,,-1.34,-3.00,-4.34,103.74,109.15,-5.41
226,Marist,MAAC,,,14,16,68.8,68.2,0.60,,-4.96,,-3.33,-1.03,-4.36,98.81,104.84,-6.03
227,Harvard,Ivy,,,13,13,71.5,69.1,2.35,,-3.97,,-3.38,-1.07,-4.45,96.54,102.50,-5.95
228,Southern,SWAC,,,17,13,72.4,68.1,4.27,,-6.43,,-2.35,-2.14,-4.50,95.68,101.44,-5.75
229,Campbell,Big South,,,16,13,66.2,62.0,4.17,,-5.57,,-7.43,2.79,-4.64,99.21,105.06,-5.85
230,Kansas City,Summit,,,19,12,74.5,67.3,7.29,,-4.61,,-3.71,-1.16,-4.87,97.89,104.46,-6.57
231,Eastern Washington,Big Sky,,,18,14,77.3,74.5,2.72,,-5.16,,2.41,-7.30,-4.89,101.57,108.32,-6.74
232,Purdue-Fort Wayne,Horizon,,,21,11,73.7,69.1,4.63,,-6.81,,-2.06,-2.88,-4.95,97.45,104.44,-7.00
233,Maryland-Baltimore County,AEC,,,18,13,74.7,71.8,2.94,,-6.76,,1.48,-6.46,-4.99,102.71,109.81,-7.10
234,UT Arlington,Sun Belt,,,11,18,67.2,68.7,-1.55,,-0.46,,-4.51,-0.51,-5.02,95.32,102.06,-6.74
235,Air Force,MWC,,,11,18,59.0,66.0,-7.00,,1.95,,-9.30,4.25,-5.05,95.96,104.21,-8.25
236,UNC Asheville,Big South,,,16,14,74.9,68.2,6.67,,-5.53,,-1.77,-3.28,-5.05,98.77,105.52,-6.74
237,Western Illinois,Summit,,,16,15,78.7,77.1,1.58,,-5.13,,2.40,-7.49,-5.09,99.40,106.48,-7.08
238,Detroit Mercy,Horizon,,,14,15,70.4,69.7,0.79,,-4.71,,-2.49,-3.01,-5.50,103.41,111.63,-8.22
239,Miami (OH),MAC (East),,,14,17,75.3,73.1,2.16,,-3.78,,0.90,-6.61,-5.71,102.59,110.73,-8.15
240,Montana,Big Sky,,,18,13,72.7,66.9,5.84,,-5.90,,-4.61,-1.15,-5.76,97.64,105.98,-8.34
241,Quinnipiac,MAAC,,,13,16,72.3,71.8,0.55,,-4.54,,0.43,-6.23,-5.79,100.99,108.64,-7.64
242,New Hampshire,AEC,,,15,13,68.8,65.0,3.79,,-6.87,,-6.57,0.59,-5.98,101.23,109.85,-8.61
243,Northeastern,CAA,,,9,22,64.3,69.1,-4.81,,-1.17,,-7.21,1.24,-5.98,96.48,104.75,-8.27
244,Rider,MAAC,,,14,18,67.8,69.2,-1.41,,-3.79,,-4.67,-1.38,-6.05,96.07,103.93,-7.86
245,Duquesne,A-10,,,6,24,65.2,73.4,-8.20,,2.12,,-3.20,-2.89,-6.09,98.25,106.93,-8.68
246,Youngstown State,Horizon,,,18,14,72.8,69.7,3.13,,-7.13,,-1.59,-4.50,-6.10,101.49,110.34,-8.86
247,Florida International,CUSA,,,15,17,70.8,71.1,-0.31,,-2.93,,-3.79,-2.34,-6.13,96.66,105.05,-8.39
248,Elon,CAA,,,10,22,67.1,72.2,-5.13,,1.35,,-4.92,-1.26,-6.18,97.96,106.42,-8.46
249,High Point,Big South,,,14,18,69.5,69.8,-0.22,,-3.18,,-3.45,-2.87,-6.32,97.13,105.71,-8.58
250,Eastern Kentucky,A-Sun,,,13,18,79.3,75.1,4.19,,-4.96,,2.98,-9.31,-6.33,100.08,108.65,-8.58
251,Howard,MEAC,,,16,13,76.4,69.6,6.76,,-8.11,,0.22,-6.56,-6.35,98.77,107.10,-8.33
252,San Jose State,MWC,,,8,23,64.3,72.3,-8.03,,4.43,,-4.59,-1.78,-6.37,98.36,108.07,-9.70
253,Siena,MAAC,,,15,13,66.1,68.9,-2.79,,-3.63,,-5.52,-0.90,-6.42,95.52,104.69,-9.17
254,UC San Diego,Big West,,,13,16,70.2,70.6,-0.34,,-3.16,,-1.42,-5.00,-6.42,99.95,109.55,-9.60
255,Stony Brook,AEC,,,18,13,72.9,73.1,-0.19,,-5.24,,0.53,-6.97,-6.44,101.58,110.79,-9.22
256,Pepperdine,WCC,,,7,25,68.2,77.5,-9.28,,3.98,,-0.44,-6.03,-6.47,97.04,105.53,-8.48
257,New Orleans,Southland,,,17,12,77.6,73.8,3.79,,-6.70,,0.09,-6.60,-6.51,95.52,104.15,-8.63
258,The Citadel,Southern,,,13,18,76.8,76.8,-0.03,,-1.70,,2.72,-9.24,-6.52,100.24,108.66,-8.42
259,Southeast Missouri State,OVC,,,14,18,75.6,77.3,-1.72,,-4.17,,4.57,-11.23,-6.67,101.93,111.19,-9.26
260,Georgia Southern,Sun Belt,,,13,16,66.4,65.6,0.83,,-2.70,,-6.36,-0.34,-6.70,94.89,104.23,-9.33
261,Massachusetts-Lowell,AEC,,,15,16,70.7,65.8,4.87,,-6.33,,-5.14,-1.62,-6.76,94.61,103.74,-9.13
262,Cal State Bakersfield,Big West,,,9,18,65.0,66.1,-1.11,,-1.45,,-7.36,0.58,-6.78,96.40,105.84,-9.45
263,Tennessee Tech,OVC,,,11,21,72.8,73.7,-0.91,,-2.65,,-0.45,-6.43,-6.88,98.56,107.97,-9.41
264,Texas A&M-Corpus Christi,Southland,,,20,11,77.3,70.6,6.68,,-8.88,,-3.10,-3.89,-6.99,95.13,104.50,-9.37
265,Long Island University,NEC,,,16,14,74.8,73.5,1.37,,-6.72,,1.09,-8.40,-7.31,96.82,107.02,-10.20
266,Pacific,WCC,,,8,22,65.9,72.7,-6.87,,1.03,,-5.05,-2.35,-7.40,94.46,104.67,-10.21
267,Ball State,MAC (West),,,14,16,74.6,76.8,-2.20,,-4.23,,0.73,-8.17,-7.44,99.52,109.20,-9.68
268,Canisius,MAAC,,,11,21,68.5,71.5,-3.00,,-2.44,,-4.00,-3.66,-7.67,94.32,104.92,-10.60
269,Portland State,Big Sky,,,13,16,73.2,71.9,1.31,,-5.36,,-2.72,-5.01,-7.73,92.84,103.77,-10.93
270,Mount St. Mary's,NEC,,,14,16,66.1,65.3,0.87,,-6.74,,-9.53,1.79,-7.74,93.87,104.20,-10.33
271,Manhattan,MAAC,,,15,15,70.9,72.6,-1.77,,-4.00,,-1.16,-6.64,-7.80,98.63,109.63,-11.01
272,North Florida,A-Sun,,,11,20,68.5,71.2,-2.65,,0.50,,-4.46,-3.47,-7.93,94.76,105.58,-10.83
273,Alcorn State,SWAC,,,16,15,66.7,70.7,-3.97,,-4.05,,-4.95,-3.07,-8.02,94.81,105.72,-10.91
274,Dixie State,WAC,,,13,18,72.5,74.1,-1.58,,-0.05,,-1.89,-6.16,-8.05,94.26,104.53,-10.27
275,Lipscomb,A-Sun,,,14,19,74.0,76.8,-2.85,,-2.92,,0.08,-8.14,-8.05,100.85,111.30,-10.45
276,Louisiana-Monroe,Sun Belt,,,13,18,72.5,74.3,-1.87,,-2.08,,-1.36,-6.82,-8.18,98.87,110.26,-11.39
277,Loyola (MD),Patriot,,,14,16,66.1,65.7,0.47,,-7.75,,-8.08,-0.12,-8.20,94.49,105.82,-11.33
278,Bowling Green State,MAC (East),,,13,18,80.3,80.5,-0.23,,-3.90,,5.26,-13.53,-8.27,101.34,112.66,-11.32
279,Presbyterian,Big South,,,12,20,67.8,67.9,-0.13,,-3.47,,-7.29,-1.01,-8.29,93.86,105.35,-11.49
280,Illinois-Chicago,Horizon,,,14,16,72.0,72.9,-0.97,,-5.94,,-0.50,-7.85,-8.36,97.62,109.95,-12.34
281,Tennessee State,OVC,,,14,18,71.3,70.2,1.13,,-6.80,,-4.66,-4.17,-8.83,95.76,107.81,-12.04
282,Southeastern Louisiana,Southland,,,18,13,79.7,78.5,1.19,,-5.35,,1.80,-10.74,-8.94,100.68,112.38,-11.70
283,Radford,Big South,,,11,18,63.2,67.4,-4.24,,-3.78,,-9.38,0.27,-9.11,92.54,105.65,-13.11
284,South Carolina Upstate,Big South,,,14,16,70.9,72.8,-1.87,,-4.13,,-2.12,-7.33,-9.45,98.24,110.89,-12.66
285,Albany (NY),AEC,,,13,18,61.8,65.9,-4.03,,-5.47,,-10.71,1.21,-9.50,89.31,102.49,-13.19
286,Denver,Summit,,,11,21,70.5,74.4,-3.84,,-5.34,,-3.84,-5.67,-9.50,97.40,110.75,-13.35
287,Austin Peay,OVC,,,12,17,64.7,69.1,-4.45,,-2.95,,-8.31,-1.26,-9.58,93.49,107.44,-13.95
288,North Carolina A&T,Big South,,,12,20,67.7,70.3,-2.59,,-4.22,,-5.08,-4.59,-9.67,95.01,108.40,-13.39
289,Hartford,AEC,,,12,20,69.8,72.2,-2.34,,-7.34,,-2.74,-6.94,-9.68,98.87,112.49,-13.62
290,Texas-Rio Grande Valley,WAC,,,8,23,71.4,78.6,-7.29,,-0.80,,1.42,-11.12,-9.70,98.19,111.18,-12.99
291,Jackson State,SWAC,,,11,19,61.0,65.5,-4.50,,-5.21,,-12.21,2.50,-9.71,89.85,102.77,-12.92
292,SIU Edwardsville,OVC,,,11,21,67.5,69.9,-2.41,,-4.18,,-5.36,-4.49,-9.85,91.86,105.09,-13.23
293,Northern Illinois,MAC (West),,,9,21,64.1,71.5,-7.43,,-2.45,,-8.29,-1.59,-9.88,91.01,104.68,-13.67
294,Cal Poly,Big West,,,7,21,61.5,67.3,-5.86,,-2.63,,-9.55,-0.37,-9.92,90.91,105.53,-14.62
295,Stetson,A-Sun,,,11,19,69.7,71.5,-1.80,,-3.71,,-5.80,-4.18,-9.98,94.68,109.06,-14.38
296,Binghamton,AEC,,,12,17,67.7,68.4,-0.72,,-5.91,,-7.13,-3.01,-10.13,91.63,106.20,-14.57
297,Prairie View,SWAC,,,8,19,69.5,76.3,-6.81,,-3.31,,-1.26,-8.87,-10.13,95.54,108.50,-12.96
298,UTSA,CUSA,,,10,22,67.3,72.3,-5.00,,-1.17,,-4.99,-5.14,-10.13,92.98,107.14,-14.16
299,Western Carolina,Southern,,,11,21,70.7,77.3,-6.59,,-1.57,,-2.42,-7.74,-10.15,97.00,111.08,-14.08
300,Army,Patriot,,,15,16,70.4,70.4,0.03,,-7.20,,-3.80,-6.40,-10.20,94.01,107.82,-13.81
301,Eastern Michigan,MAC (West),,,10,21,69.1,76.0,-6.87,,-2.50,,-3.16,-7.18,-10.34,92.36,106.90,-14.54
302,Evansville,MVC,,,6,24,59.2,70.7,-11.57,,1.89,,-10.04,-0.41,-10.45,91.59,108.15,-16.56
303,Merrimack,NEC,,,14,16,61.4,64.4,-2.93,,-6.44,,-12.64,2.16,-10.47,91.00,106.24,-15.24
304,Lehigh,Patriot,,,13,19,68.4,71.4,-2.94,,-7.23,,-4.01,-6.48,-10.49,94.96,110.12,-15.16
305,St. Thomas (MN),Summit,,,10,20,74.7,75.3,-0.63,,-5.01,,-1.61,-8.96,-10.57,104.32,119.48,-15.16
306,Tennessee-Martin,OVC,,,8,22,68.9,73.5,-4.63,,-2.57,,-4.65,-6.02,-10.67,93.08,107.63,-14.54
307,North Alabama,A-Sun,,,9,21,69.4,68.5,0.83,,-2.75,,-9.11,-1.76,-10.87,89.20,104.07,-14.87
308,Sacramento State,Big Sky,,,11,17,65.6,69.7,-4.11,,-5.04,,-9.70,-1.46,-11.16,92.60,108.73,-16.13
309,North Carolina Central,MEAC,,,15,14,72.9,68.4,4.48,,-6.71,,-5.99,-5.21,-11.19,92.95,107.81,-14.85
310,McNeese State,Southland,,,11,21,78.2,77.3,0.88,,-4.48,,-0.84,-10.46,-11.30,95.15,109.81,-14.66
311,Cal State Northridge,Big West,,,7,23,61.6,71.2,-9.67,,-0.82,,-8.56,-2.87,-11.43,92.61,109.84,-17.23
312,Little Rock,Sun Belt,,,9,19,66.7,73.1,-6.39,,-0.22,,-4.63,-6.91,-11.54,95.90,112.77,-16.88
313,Florida A&M,SWAC,,,13,16,65.3,69.1,-3.76,,-6.16,,-8.81,-2.80,-11.61,92.81,108.79,-15.98
314,Alabama State,SWAC,,,10,21,69.7,75.2,-5.55,,-5.12,,-3.01,-8.71,-11.72,94.62,110.26,-15.64
315,Maryland-Eastern Shore,MEAC,,,11,14,67.2,66.3,0.88,,-6.91,,-9.44,-2.33,-11.77,89.90,106.01,-16.11
316,Grambling,SWAC,,,11,19,65.9,71.4,-5.47,,-4.86,,-5.80,-6.23,-12.03,91.94,108.20,-16.26
317,Robert Morris,Horizon,,,8,24,69.4,74.7,-5.31,,-5.08,,-4.31,-7.81,-12.12,96.23,113.60,-17.37
318,Morgan State,MEAC,,,12,13,75.7,72.2,3.44,,-7.65,,-3.51,-8.76,-12.27,89.83,105.67,-15.85
319,Lafayette,Patriot,,,10,20,67.8,72.8,-5.03,,-6.35,,-6.80,-5.49,-12.28,95.70,112.92,-17.22
320,Coppin State,MEAC,,,8,22,66.9,74.8,-7.97,,-4.47,,-5.14,-7.30,-12.44,89.70,105.97,-16.27
321,Central Michigan,MAC (West),,,7,22,65.8,77.1,-11.38,,-1.13,,-5.83,-6.68,-12.51,93.17,110.41,-17.25
322,South Carolina State,MEAC,,,15,15,71.7,72.3,-0.63,,-7.86,,-5.40,-7.17,-12.56,89.69,105.89,-16.20
323,Idaho,Big Sky,,,9,22,73.0,79.6,-6.61,,-4.28,,-0.52,-12.17,-12.69,97.15,114.72,-17.57
324,Milwaukee,Horizon,,,10,22,64.8,70.8,-5.97,,-5.92,,-8.82,-3.98,-12.79,90.62,109.06,-18.44
325,Northern Arizona,Big Sky,,,9,23,67.5,73.3,-5.81,,-3.59,,-8.37,-4.61,-12.99,93.20,112.27,-19.07
326,Western Michigan,MAC (West),,,8,23,65.4,75.1,-9.74,,-1.80,,-8.15,-4.86,-13.01,94.34,112.81,-18.48
327,Sacred Heart,NEC,,,10,20,72.7,75.1,-2.47,,-8.45,,-2.66,-10.41,-13.07,98.20,116.75,-18.55
328,St. Francis (NY),NEC,,,10,20,67.2,70.5,-3.30,,-7.62,,-8.11,-5.06,-13.17,91.61,109.98,-18.37
329,Southern Mississippi,CUSA,,,7,26,64.4,74.9,-10.45,,-0.08,,-6.83,-6.45,-13.27,92.86,111.68,-18.82
330,Hampton,Big South,,,9,19,64.8,69.5,-4.71,,-5.81,,-8.29,-5.06,-13.35,88.79,107.36,-18.57
331,Central Arkansas,A-Sun,,,11,20,73.2,81.1,-7.94,,-1.24,,-0.02,-13.36,-13.38,95.63,113.24,-17.60
332,Green Bay,Horizon,,,5,25,61.7,68.9,-7.20,,-5.04,,-11.02,-2.47,-13.49,90.64,110.93,-20.29
333,Northwestern State,Southland,,,9,23,73.8,80.4,-6.56,,-2.75,,-1.37,-12.24,-13.61,95.82,113.53,-17.71
334,Chicago State,WAC,,,7,25,62.1,74.4,-12.28,,-1.44,,-7.70,-6.02,-13.72,93.21,112.52,-19.31
335,Houston Baptist,Southland,,,11,17,76.1,76.6,-0.54,,-6.30,,-3.40,-10.36,-13.76,93.58,113.01,-19.43
336,William & Mary,CAA,,,5,27,63.9,74.4,-10.50,,-1.88,,-7.73,-6.19,-13.92,88.17,107.97,-19.80
337,Saint Francis (PA),NEC,,,9,21,68.6,73.5,-4.90,,-7.53,,-6.66,-7.52,-14.18,91.89,112.37,-20.48
338,NJIT,AEC,,,11,18,63.0,70.0,-7.03,,-5.85,,-10.23,-4.08,-14.32,88.15,108.92,-20.77
339,Bethune-Cookman,SWAC,,,9,21,63.4,69.5,-6.17,,-6.34,,-9.80,-4.54,-14.34,90.24,110.73,-20.49
340,Alabama A&M,SWAC,,,11,17,61.4,67.3,-5.96,,-8.39,,-13.25,-1.10,-14.35,83.42,102.68,-19.26
341,Bucknell,Patriot,,,9,23,71.2,79.4,-8.25,,-6.12,,-1.84,-12.53,-14.37,97.27,117.64,-20.37
342,Idaho State,Big Sky,,,7,23,64.4,71.5,-7.17,,-4.82,,-11.36,-3.14,-14.50,90.55,111.86,-21.30
343,American,Patriot,,,10,22,63.5,70.9,-7.47,,-7.58,,-10.29,-4.76,-15.05,91.10,112.65,-21.55
344,Lamar,WAC,,,2,27,61.3,73.0,-11.66,,-2.14,,-9.91,-5.49,-15.40,89.63,111.53,-21.90
345,North Dakota,Summit,,,6,25,70.3,78.8,-8.58,,-4.63,,-5.46,-10.48,-15.94,94.17,116.77,-22.60
346,Omaha,Summit,,,5,25,69.6,83.5,-13.90,,-1.65,,-3.53,-12.84,-16.37,94.91,117.77,-22.86
347,Incarnate Word,Southland,,,7,25,67.0,76.4,-9.38,,-3.85,,-9.76,-6.78,-16.54,93.07,116.35,-23.28
348,Holy Cross,Patriot,,,9,22,65.2,70.7,-5.48,,-7.61,,-10.01,-6.56,-16.57,88.82,112.80,-23.98
349,Central Connecticut State,NEC,,,8,24,61.8,72.1,-10.34,,-6.74,,-11.94,-5.14,-17.08,87.74,112.17,-24.43
350,Columbia,Ivy,,,4,22,67.4,78.8,-11.42,,-4.35,,-6.02,-11.21,-17.23,90.70,114.52,-23.82
351,Charleston Southern,Big South,,,6,25,68.5,76.0,-7.55,,-4.13,,-7.72,-9.77,-17.49,89.79,113.38,-23.60
352,Fairleigh Dickinson,NEC,,,4,22,67.2,79.2,-11.92,,-5.80,,-5.52,-12.20,-17.73,91.46,116.10,-24.65
353,Maine,AEC,,,6,23,62.4,71.1,-8.69,,-5.09,,-10.69,-7.44,-18.13,88.86,114.85,-26.00
354,Arkansas-Pine Bluff,SWAC,,,7,24,66.3,78.3,-11.97,,-4.24,,-6.37,-12.26,-18.62,92.82,118.61,-25.79
355,Eastern Illinois,OVC,,,5,26,56.3,71.1,-14.81,,-3.40,,-17.75,-2.75,-20.50,81.16,110.92,-29.76
356,Mississippi Valley State,SWAC,,,2,26,67.2,83.0,-15.75,,-6.10,,-5.31,-16.54,-21.85,88.94,117.76,-28.82
357,Delaware State,MEAC,,,2,26,62.8,73.5,-10.75,,-7.03,,-13.10,-9.17,-22.27,83.23,113.74,-30.51
358,IUPUI,Horizon,,,3,26,52.4,67.1,-14.66,,-6.15,,-21.75,-1.48,-23.22,76.61,112.32,-35.71
